,D,Reg_Name,NMSE
0,10,l1,0.2118521
1,10,stvs,0.21136865
2,10,none,0.21135597
3,120,l1,0.15642041
4,120,stvs,0.15592444
5,120,none,0.15596692
6,230,l1,0.1558618
7,230,stvs,0.15543643
8,230,none,0.15553525
9,340,l1,0.15794078
10,340,stvs,0.15756981
11,340,none,0.15764605
12,450,l1,0.15602492
13,450,stvs,0.15592878
14,450,none,0.15602481
15,560,l1,0.16092186
16,560,stvs,0.16053447
17,560,none,0.16067645
18,670,l1,0.16100505
19,670,stvs,0.16131762
20,670,none,0.16141455
21,780,l1,0.15653108
22,780,stvs,0.1564551
23,780,none,0.15662332
24,890,l1,0.16301695
25,890,stvs,0.16302063
26,890,none,0.16314249
27,1000,l1,0.1595128
28,1000,stvs,0.15902603
29,1000,none,0.1591494
